Mon Lunch|||||||||||||||||||||||||
| Ratatouille and Mozzarella Tart |167|292|1212|6.7|21|9.1|8.8|2.1|4.5|18|1.8|157|306|98|1|||||||||
|||||||||||||||||||||||||
| Cheese & Tomato Sand |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
| Chicken Salad (mayonnaise)Sandwich |1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
| Plain Ham Sandwich|1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
| Tuna Mayonnaise Sand |1|394.5|1649|47.15|10.05|1.8|2.3|5.1|2.3|30.7|2.4|937|541.1|113.8|3.2|||||||||
| Egg & Tomato Sandwich |1|358|1504.5|18.95|16.5|4.3|6.1|3.8|4.6|35.65|2.7|537.5|520.5|241.5|3.55|||||||||
| Ham Salad |1|150.7|628|24.1|4.6|1.2|1.8|0.6|5|5.3|1.6|1788|748|36.1|2.1|||||||||
| Mixed Bean Salad |1|158|661|10.3|2.8|0.3|0.5|1|6.2|24.5|7.8|714.3|574|96.1|3.3|||||||||
| Tuna Mayonnaise Salad  |1|388.7|1624|36.8|23.6|2.7|5.6|13.1|6|6.4|1.8|629.3|687|47.3|2.39|||||||||
|Egg Salad |1|179.7|752|13.7|11.5|3.1|4.7|1.3|5.6|5.9|1.8|154.3|467|90.3|2.7|||||||||
| Chicken Salad |1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
| Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
| Pasta |140|223|948|9.2|2.1|0.4| 0.4 |0.5|0.8|45|2.7|22|69.0|52.0|1.1|||||||||
| Roast Potatoes |120|179|749|3.5|5.4|0.5|2.6|1.9|0.7|31.0|2.2|10.8|684.0|9.6|0.8|||||||||
| Broccoli |120|29|120|3.7|1.0|0.2|0.1|0.5|1.1|1.3|2.8|15.6|204.0|48.0|1.2|||||||||
| Diced Swede |120|13|55|0.4|0.1|0.0|0.0|0.1|2.6|2.8|0.8|16.8|103.0|31.2|0.1|||||||||
|||||||||||||||||||||||||
| Piece of Fresh Fruit |100|37-95|154-397|0.4-1.2|0.1-0.3|0.1|0.0|0.1|8.5-20.9|8.5-23.2|1.1-1.8|1.0-5.0|120-400|4.0-47|0.1-0.3|||||||||
| Fruit in Natural Juice |150|44|183|0.6|0.0|0.0|0.0|0.0|10.8|10.8|1.5|4.5|143.0|13.5|0.6|||||||||
| Fruit Yoghurt|110|78|326|3.3|0.2|0.0|0.0|0.0|10.2|10.2|0.0|49.5|211.2|n/a|n/a|||||||||
| Cheese and Biscuits |1|207|864|10.2|14.5|7.6|3.3|0.4|0|9.6|0.3|338|43|274|0.3|||||||||
| Vanilla Ice Cream|110|176|738|2.8|7.8|4.9|n/a|n/a|8.0|23.5|0.0|44.0|n/a|140.0|0.1|||||||||
| Jam & Coconut Sponge with Custard |235|617|2586|9.6|36.4|21.0|6.4|6.6|39.6|66.8|5.3|314.0|441.0|251.0|2.3|||||||||
| Pineapple Custard Dessert |210|111|472|2.5|1.1|0.7|0.3|0.0|21.5|24.4|0.6|38.0|189.0|86.0|0.6|||||||||
|||||||||||||||||||||||||
Thurs Lunch|||||||||||||||||||||||||
|  Leek & potato soup|240ml|377|1590|8.8|15.4|7.1|4.8|19.9|5|54|3.7|450|423|148|2|||||||||
|  Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
|||||||||||||||||||||||||
|  Bread roll and Butter/Margarine|1|205|864|4.7|9.3|5.5|2.3|0.6|1.4|27|1.2|389|89|90|0.8|||||||||
|||||||||||||||||||||||||
| Braised Chicken with Butternut Squash |191|212|892|25.9|7.3|0.5|2.2|0.4|4.4|11.2|1.8|121|645|43|1.2|||||||||
| Cauliflower, Potatoes In Tomato Sauce |188|83|348|3.0|3.0|0.4| 1.2 |1.0|4.2|11|2.0|168|483.0|25.0|1.0|||||||||
| Mixed Vegetables|120|50|209|4.0|0.6|0.0|0.0|0.0|4.3|7.9|0.0|115.0|156.0|42.0|1.0|||||||||
| Boiled Rice  |110|126|532|2.0|0.3|0.0|0.0|0.0|0.0|30.0|0.2|1.0|39.0|1.0|0.2|||||||||
|||||||||||||||||||||||||
| Cheese & Tomato Sand |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
| Chicken Salad (mayonnaise) Sandwich |1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
| Plain Ham Sandwich |1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
| Tuna Mayonnaise Sand|1|394.5|1649|47.15|10.05|1.8|2.3|5.1|2.3|30.7|2.4|937|541.1|113.8|3.2|||||||||
| Egg & Tomato Sandwich |1|358|1504.5|18.95|16.5|4.3|6.1|3.8|4.6|35.65|2.7|537.5|520.5|241.5|3.55|||||||||
|||||||||||||||||||||||||
| Piece of Fresh Fruit |100|37-95|154-397|0.4-1.2|0.1-0.3|0.1|0.0|0.1|8.5-20.9|8.5-23.2|1.1-1.8|1.0-5.0|120-400|4.0-47|0.1-0.3|||||||||
| Fruit Yoghurt|110|78|326|3.3|0.2|0.0|0.0|0.0|10.2|10.2|0.0|49.5|211.2|n/a|n/a|||||||||
| Cheese and Biscuits |1|207|864|10.2|14.5|7.6|3.3|0.4|0|9.6|0.3|338|43|274|0.3|||||||||
| Banana Brule |94| 209 |881|5.0|7.0|2.7| 2.9 |0.7| 31.2 |32|0.3|46|229.0|100.0|1.4|||||||||
|||||||||||||||||||||||||
| Ham Salad |1|150.7|628|24.1|4.6|1.2|1.8|0.6|5|5.3|1.6|1788|748|36.1|2.1|||||||||
| Mixed Bean Salad |1|158|661|10.3|2.8|0.3|0.5|1|6.2|24.5|7.8|714.3|574|96.1|3.3|||||||||
| Tuna Mayonnaise Salad    |1|388.7|1624|36.8|23.6|2.7|5.6|13.1|6|6.4|1.8|629.3|687|47.3|2.39|||||||||
| Egg Salad |1|179.7|752|13.7|11.5|3.1|4.7|1.3|5.6|5.9|1.8|154.3|467|90.3|2.7|||||||||
| Chicken Salad|1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
| Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
Thurs Dinner|||||||||||||||||||||||||
|  Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
|  Minestrone Soup  |240ml|398|1669|9|19.9|8.7|6.9|20.2|7.4|48|4|588|497|145|2.2|||||||||
|||||||||||||||||||||||||
| Braised Beef in Mushroom Sauce |185|147|619|18.0|6.0|2.0|2.4|1.3|2.0|4.0|1.0|101.0|513.0|23.0|1.9|||||||||
| Spiced lamb with Coconut & Banana |235|234|980|21.3|12.1|4|4.8|1.5|9.5|10.8|0.9|179|682|42|1.7|||||||||
